tenure_months,monthly_charge,total_charges,support_tickets,late_payments,avg_monthly_usage_gb,has_streaming,has_security_pack,num_products,customer_age,is_promo,contract_type,payment_method,internet_service,region,churn
43,39.39,1732.87,1,1,124.67,1,1,3,33,1,anual,transferencia,movil,centro,0
9,85.43,498.03,1,0,118.14,0,0,4,22,1,anual,transferencia,fibra,oeste,0
36,78.98,2894.76,2,0,109.95,0,1,4,37,0,anual,debito,cable,sur,0
35,82.59,3057.73,2,0,85.54,1,1,3,47,1,mensual,credito,cable,sur,1
59,53.1,3232.19,2,3,212.68,0,0,2,27,0,anual,transferencia,fibra,centro,0
11,56.23,465.47,0,0,138.47,0,0,1,30,0,anual,debito,ninguno,norte,0
38,36.99,1386.27,0,0,136.35,1,1,4,40,0,anual,credito,ninguno,oeste,0
44,15.69,635.76,2,1,13.71,1,1,3,18,1,bianual,debito,cable,oeste,0
60,28.94,1851.96,0,2,54.27,0,1,2,76,1,bianual,credito,cable,centro,0
10,35.1,408.08,0,2,112.11,0,0,4,73,0,anual,transferencia,fibra,centro,0
65,61.74,4119.84,3,0,103.75,1,1,2,43,0,anual,transferencia,fibra,centro,0
9,59.55,473.69,2,0,97.95,1,1,3,43,0,anual,debito,ninguno,norte,0
3,58.35,384.28,1,2,54.25,1,1,3,61,0,mensual,debito,fibra,oeste,1
7,39.28,212.36,1,0,40.02,0,1,4,29,0,bianual,transferencia,ninguno,centro,0
56,53.83,3111.89,2,1,142.65,1,0,1,38,1,anual,credito,fibra,norte,0
33,71.99,2566.53,1,1,184.21,0,1,4,66,1,bianual,efectivo,fibra,sur,0
24,54.15,1474.34,1,0,137.69,1,0,1,61,0,mensual,debito,cable,oeste,0
13,92.47,1086.22,3,1,41.61,1,1,3,67,1,bianual,transferencia,cable,centro,0
69,71.63,4727.36,3,0,247.18,0,1,2,59,0,mensual,transferencia,cable,oeste,1
36,61.95,2370.39,4,2,187.89,1,1,2,51,1,mensual,transferencia,movil,centro,1
7,34.21,269.04,1,1,144.4,0,1,1,78,0,anual,debito,cable,oeste,0
12,65.73,814.86,3,0,138.66,0,1,1,24,0,mensual,debito,fibra,sur,0
68,61.72,4019.24,1,0,71.8,1,0,1,43,0,anual,credito,ninguno,oeste,0
41,46.86,1896.51,1,3,115.51,1,1,1,71,1,mensual,credito,movil,sur,0
56,75.64,4105.92,1,0,88.3,1,1,2,25,0,mensual,credito,cable,oeste,0
63,90.58,5680.01,1,0,173.21,1,0,2,52,1,anual,efectivo,cable,oeste,1
57,66.03,3767.18,1,1,117.51,1,1,4,71,0,bianual,debito,fibra,centro,0
72,69.54,4993.31,2,1,159.32,1,1,2,26,1,anual,debito,fibra,centro,0
